
Test: 0

Insert: 
     Ñartesian                                  AVL
30)     0.0009606                      0.0004708
31)     0.0009763                      0.0004703
32)     0.0008198                      0.0004777
33)     0.0008178                      0.0005626
34)     0.0008466                      0.0005417
35)     0.0009482                      0.0005381
36)     0.0008262                      0.0005445
37)     0.0008887                      0.0005186
38)     0.0009078                      0.0005057
39)     0.0008985                      0.0005094
40)     0.0009804                      0.000517
41)     0.0008002                      0.0004728
42)     0.0008489                      0.0004807
43)     0.0008768                      0.0004533
44)     0.0007708                      0.0005287
45)     0.0008152                      0.0005363
46)     0.0008354                      0.0005573
47)     0.0008639                      0.0005284
48)     0.0011456                      0.0005105
49)     0.0008305                      0.0005264
50)     0.0008927                      0.0005126

Test: 4

Insert: 
     Ñartesian                                  AVL
1)     0.0009871                      0.0005147
2)     0.0008742                      0.0004828
3)     0.0008005                      0.0005127
4)     0.0008011                      0.0004854
5)     0.0008982                      0.0005178
6)     0.000823                      0.0004806
7)     0.0012789                      0.0005055
8)     0.0010437                      0.0007692
9)     0.0007938                      0.0005131
10)     0.0008983                      0.0005438
11)     0.0008498                      0.0004816
12)     0.0009157                      0.0005218
13)     0.0008457                      0.0004674
14)     0.0008411                      0.0005185
15)     0.0008036                      0.0005297
16)     0.0009194                      0.000519
17)     0.0008726                      0.0005305
18)     0.0008226                      0.0004764
19)     0.0008397                      0.0005358
20)     0.0008232                      0.0004764
21)     0.0007692                      0.000525
22)     0.000836                      0.0005463
23)     0.0008543                      0.0005274
24)     0.0008252                      0.0005944
25)     0.000949                      0.0006081
26)     0.0007646                      0.0005416
27)     0.0008119                      0.0004712
28)     0.0008389                      0.0005422
29)     0.0009876                      0.0004829
30)     0.0007854                      0.0005149
31)     0.0008329                      0.000485
32)     0.0008684                      0.0005246
33)     0.0007875                      0.0005372
34)     0.0008166                      0.0005147
35)     0.0009833                      0.0005242
36)     0.0008667                      0.0004731
37)     0.0010316                      0.0005298
38)     0.0008253                      0.0004774
39)     0.0008558                      0.000517
40)     0.0008489                      0.0004773
41)     0.0008827                      0.0005181
42)     0.0009181                      0.0004798
43)     0.0009104                      0.0005204
44)     0.0008028                      0.0005503
45)     0.0009102                      0.0005141
46)     0.0008625                      0.0005388
47)     0.0010235                      0.0004763
48)     0.0009091                      0.0005192
49)     0.0008585                      0.000486
50)     0.0008324                      0.0005258

Test: 5

Insert: 
     Ñartesian                                  AVL
1)     0.0008496                      0.0005387
2)     0.0008181                      0.0005293
3)     0.0008178                      0.000533
4)     0.0008253                      0.0005215
5)     0.0008269                      0.000537
6)     0.0009017                      0.0005236
7)     0.0007736                      0.000545
8)     0.0008795                      0.0005219
9)     0.0008076                      0.0005534
10)     0.0008382                      0.0004832
11)     0.0008005                      0.0005455
12)     0.0010903                      0.0005301
13)     0.0007835                      0.0005323
14)     0.000951                      0.0004628
15)     0.0008904                      0.0005328
16)     0.0008944                      0.000483
17)     0.0014195                      0.0005258
18)     0.0008011                      0.0005373
19)     0.0009267                      0.0005177
20)     0.0008337                      0.0005378
21)     0.0009576                      0.0005688
22)     0.0007931                      0.0005387
23)     0.0008298                      0.0004788
24)     0.000805                      0.0005813
25)     0.00089                      0.0009918
26)     0.0008112                      0.0005362
27)     0.0008596                      0.0004769
28)     0.000821                      0.0005285
29)     0.0010307                      0.0004861
30)     0.0008584                      0.0005439
31)     0.0009131                      0.000476
32)     0.0009222                      0.0005279
33)     0.0013403                      0.0004855
34)     0.0008941                      0.000514
35)     0.0008154                      0.000485
36)     0.0009026                      0.0005273
37)     0.0007952                      0.0004791
38)     0.0009786                      0.0005262
39)     0.0014222                      0.0004883
40)     0.000853                      0.0005269
41)     0.0008758                      0.0004852
42)     0.0008664                      0.0005289
43)     0.000991                      0.0004839
44)     0.0013934                      0.000523
45)     0.0008795                      0.0005377
46)     0.0008537                      0.0005376
47)     0.0009123                      0.0004772
48)     0.0008487                      0.0005184
49)     0.0008408                      0.0004886
50)     0.0008161                      0.0005223

Test: 6

Insert: 
     Ñartesian                                  AVL
1)     0.0007868                      0.0005345
2)     0.0008367                      0.0004837
3)     0.0013865                      0.0005111
4)     0.0008416                      0.0005256
5)     0.0007724                      0.0005492
6)     0.0015338                      0.0004784
7)     0.0009081                      0.00048
8)     0.000804                      0.0005342
9)     0.0008066                      0.0005503
10)     0.0008967                      0.0004823
11)     0.000917                      0.0004894
12)     0.0008421                      0.0005141
13)     0.0008348                      0.0005229
14)     0.000774                      0.0005337
15)     0.0008608                      0.0004899
16)     0.0012871                      0.0005191
17)     0.0008057                      0.0005264
18)     0.0013303                      0.000536
19)     0.0008718                      0.0004782
20)     0.000877                      0.0005143
21)     0.0008547                      0.0005223
22)     0.0007956                      0.0005514
23)     0.0008932                      0.0004868
24)     0.0012121                      0.0005221
25)     0.0007883                      0.0005258
26)     0.0007798                      0.0005365
27)     0.0010869                      0.0004764
28)     0.0009209                      0.0005305
29)     0.0008432                      0.000517
30)     0.0008893                      0.0005537
31)     0.0008412                      0.0004874
32)     0.0008434                      0.0004783
33)     0.0009066                      0.0005225
34)     0.0008355                      0.0005178
35)     0.0008054                      0.0005485
36)     0.000888                      0.0004915
37)     0.0011062                      0.0005145
38)     0.0008019                      0.0005792
39)     0.0007647                      0.0005493
40)     0.0008039                      0.0005448
41)     0.0009421                      0.0004875
42)     0.0008878                      0.0005221
43)     0.0014275                      0.0005205
44)     0.0008174                      0.0005742
45)     0.000853                      0.0004777
46)     0.0008637                      0.0005339
47)     0.0008393                      0.0005112
48)     0.0007761                      0.000542
49)     0.0008429                      0.0004807
50)     0.0009327                      0.0005249

Test: 7

Insert: 
     Ñartesian                                  AVL
1)     0.0007182                      0.0005495
2)     0.0008835                      0.0005578
3)     0.0009829                      0.0004832
4)     0.0007818                      0.0005642
5)     0.000863                      0.0005443
6)     0.0008745                      0.0004887
7)     0.0011856                      0.0006558
8)     0.0008146                      0.0004833
9)     0.0007476                      0.0005703
10)     0.0008849                      0.0005248
11)     0.0008539                      0.0004872
12)     0.000854                      0.0005272
13)     0.0008054                      0.0005514
14)     0.0007885                      0.0005475
15)     0.000913                      0.0005285
16)     0.0009407                      0.0004795
17)     0.000827                      0.0005482
18)     0.0011105                      0.0005221
19)     0.0008143                      0.0005489
20)     0.0008295                      0.0005311
21)     0.0008644                      0.0004805
22)     0.0007847                      0.0005685
23)     0.0007927                      0.0005296
24)     0.0014622                      0.0004792
25)     0.0008368                      0.0005254
26)     0.0008736                      0.0004786
27)     0.0007863                      0.000563
28)     0.0008771                      0.0005251
29)     0.0008698                      0.0004793
30)     0.0008074                      0.0005649
31)     0.0008654                      0.0005301
32)     0.0008537                      0.0005588
33)     0.0013362                      0.0005273
34)     0.0008612                      0.0004879
35)     0.000805                      0.000581
36)     0.000882                      0.0005372
37)     0.0009234                      0.0004816
38)     0.0008541                      0.0005197
39)     0.0008216                      0.0005223
40)     0.0009143                      0.0005441
41)     0.000843                      0.0005274
42)     0.0008265                      0.0004755
43)     0.0012858                      0.0005957
44)     0.0008483                      0.0005303
45)     0.000857                      0.0004807
46)     0.0008142                      0.0005268
47)     0.0008954                      0.0004821
48)     0.0012102                      0.0006524
49)     0.0008543                      0.0005208

Test: 0

Insert: 
     Ñartesian                                  AVL
1)     0.0008609                      0.0005145
2)     0.0009683                      0.0005774
3)     0.0010343                      0.0004536
4)     0.0008591                      0.0004886
5)     0.0007852                      0.0004932
6)     0.0013032                      0.0007833
7)     0.0008509                      0.0005235
8)     0.0008942                      0.0004395
9)     0.0008669                      0.0005275
10)     0.0010214                      0.0004537
11)     0.0008052                      0.0005255
12)     0.0008889                      0.0004392
13)     0.0008983                      0.0005073
14)     0.0010348                      0.0004439
15)     0.0008592                      0.0005119
16)     0.0008243                      0.0004495
17)     0.0009778                      0.0004914
