
Test: 0

 Remove : 
     Ñartesian                   AVL 
20)      7.72e-05              7.6e-06
21)      7.65e-05              7.6e-06
22)      7.82e-05              7.5e-06
23)      7.66e-05              7.6e-06
24)      7.78e-05              7.6e-06
25)      7.76e-05              7.6e-06
26)      7.65e-05              7.7e-06
27)      7.79e-05              7.9e-06
28)      7.71e-05              9.9e-06
29)      7.77e-05              7.8e-06
30)      7.83e-05              7.7e-06
31)      7.68e-05              7.9e-06
32)      0.0001707              1.69e-05
33)      9.13e-05              7.6e-06
34)      8.61e-05              7.7e-06
35)      7.73e-05              7.5e-06
36)      7.78e-05              7.5e-06
37)      8.03e-05              7.6e-06
38)      7.75e-05              7.6e-06
39)      7.7e-05              7.6e-06
40)      7.85e-05              8e-06
41)      7.84e-05              7.6e-06
42)      7.67e-05              7.7e-06
43)      7.69e-05              7.7e-06
44)      0.0001734              1.67e-05
45)      7.64e-05              7.6e-06
46)      7.74e-05              7.8e-06
47)      0.0001103              7.8e-06
48)      8.07e-05              7.6e-06
49)      7.69e-05              7.8e-06
50)      7.71e-05              7.6e-06

Test: 7

 Remove : 
     Ñartesian                   AVL 
1)      7.75e-05              7.7e-06
2)      7.69e-05              7.6e-06
3)      7.68e-05              7.6e-06
4)      7.66e-05              7.5e-06
5)      7.74e-05              7.7e-06
6)      0.0001711              1.67e-05
7)      7.72e-05              7.6e-06
8)      8.12e-05              7.6e-06
9)      7.73e-05              7.8e-06
10)      7.71e-05              7.8e-06
11)      7.78e-05              7.9e-06
12)      7.68e-05              7.9e-06
13)      7.72e-05              7.7e-06
14)      7.86e-05              7.7e-06
15)      7.64e-05              7.6e-06
16)      7.93e-05              7.6e-06
