
Test: 0

Depth: 
     Ñartesian                                  AVL
47)     26                      13
48)     27                      14
49)     28                      14
50)     30                      13

Test: 3

Depth: 
     Ñartesian                                  AVL
1)     28                      15
2)     30                      15
3)     30                      15
4)     31                      15
5)     32                      15
6)     30                      15
7)     29                      15
8)     31                      15
9)     31                      15
10)     30                      15
11)     31                      15
12)     30                      15
13)     29                      15
14)     27                      15
15)     30                      15
16)     28                      15
17)     29                      15
18)     32                      15
19)     31                      15
20)     33                      15
21)     32                      15
22)     31                      15
23)     32                      15
24)     32                      15
25)     32                      15
26)     30                      15
27)     30                      15
28)     33                      15
29)     31                      15
30)     36                      15
31)     30                      15
32)     29                      15
33)     29                      15
34)     30                      15
35)     29                      15
36)     29                      15
37)     30                      15
38)     28                      15
39)     30                      15
40)     31                      15
41)     31                      15
42)     27                      14
43)     32                      15
44)     29                      15
45)     29                      15
46)     32                      15
47)     30                      15
48)     30                      15
49)     28                      15
50)     32                      15

Test: 4

Depth: 
     Ñartesian                                  AVL
1)     32                      16
2)     35                      16
3)     33                      16
4)     33                      16
5)     33                      16
6)     33                      16
7)     34                      16
8)     32                      16
9)     31                      16
10)     39                      16
11)     32                      16
12)     37                      16
13)     34                      16
14)     31                      16
15)     34                      16
16)     31                      16
17)     35                      16
18)     33                      16
19)     30                      16
20)     34                      16
21)     34                      16
22)     35                      16
23)     33                      16
24)     31                      16
25)     30                      16
26)     34                      16
27)     33                      16
28)     33                      16
29)     30                      16
30)     32                      16
31)     35                      16
32)     35                      16
33)     32                      16
34)     36                      16
35)     34                      16
36)     33                      16
37)     33                      16
38)     33                      16
39)     32                      16
40)     33                      16
41)     33                      16
42)     32                      16
43)     38                      16
44)     30                      16
45)     31                      16
46)     34                      16
47)     35                      16
48)     34                      16
49)     32                      16
50)     36                      16

Test: 5

Depth: 
     Ñartesian                                  AVL
1)     36                      17
2)     34                      17
3)     39                      17
4)     35                      17
5)     35                      17
6)     35                      17
7)     35                      18
8)     35                      17
9)     34                      17
10)     34                      17
11)     35                      17
12)     37                      17
13)     36                      17
14)     39                      17
15)     35                      17
16)     35                      17
17)     42                      17
18)     34                      17
19)     37                      17
20)     39                      17
21)     40                      17
22)     34                      17
23)     37                      17
24)     39                      17
25)     34                      17
26)     36                      17
27)     33                      17
28)     32                      17
29)     34                      18
30)     38                      17
31)     37                      17
32)     36                      17
33)     33                      17
34)     37                      17
35)     37                      17
36)     33                      17
37)     38                      17
38)     35                      18
39)     35                      17
40)     35                      17
41)     35                      17
42)     33                      17
43)     35                      17
44)     33                      17
45)     37                      17
46)     36                      17
47)     35                      17
48)     40                      17
49)     33                      18
50)     33                      17

Test: 6

Depth: 
     Ñartesian                                  AVL
1)     37                      18
2)     37                      18
3)     38                      18
4)     42                      18
5)     39                      18
6)     38                      18
7)     37                      18
8)     37                      18
9)     37                      18
10)     36                      18
11)     41                      18
12)     38                      18
13)     37                      18
14)     42                      18
15)     36                      18
16)     39                      18
17)     42                      18
18)     39                      18
19)     37                      18
20)     40                      18
21)     41                      18
22)     39                      18
23)     37                      18
24)     38                      18
25)     39                      18
26)     40                      18
27)     41                      18
28)     40                      18
29)     39                      18
30)     39                      18
31)     38                      18
32)     37                      18
33)     39                      18
34)     37                      18
35)     42                      18
36)     38                      18
37)     43                      18
38)     39                      18
39)     39                      18
40)     39                      17
41)     41                      18
42)     39                      18
43)     38                      17
44)     41                      18
45)     37                      18
46)     41                      18
47)     39                      17
48)     38                      18
49)     38                      18
50)     41                      18

Test: 7

Depth: 
     Ñartesian                                  AVL
1)     42                      18
2)     41                      18
3)     43                      18
4)     42                      18
5)     42                      18
6)     39                      18
7)     39                      18
8)     41                      18
9)     39                      18
10)     41                      18
11)     41                      18
12)     43                      18
13)     44                      18
14)     42                      18
15)     43                      18
16)     40                      18
17)     42                      18
18)     46                      18
19)     40                      18
20)     40                      18
21)     39                      18
22)     46                      18
23)     41                      18
24)     41                      18
25)     39                      18
26)     43                      18
27)     45                      18
28)     42                      18
29)     42                      18
30)     43                      18
31)     46                      18
32)     43                      18
33)     41                      18
34)     43                      18
35)     41                      18
36)     48                      18
37)     45                      18
38)     43                      18
39)     40                      18
40)     37                      18
41)     44                      18
42)     44                      18
43)     51                      18
44)     42                      18
45)     41                      18
46)     45                      18
47)     41                      18
48)     40                      18
49)     42                      18
50)     40                      18
