
Test: 0

Search: 
     Ñartesian                      AVL
4)     6.17e-05           5.85e-05
5)     6.48e-05           5.83e-05
6)     0.0001348           6.19e-05
7)     6.02e-05           5.85e-05
8)     5.82e-05           5.83e-05
9)     6.14e-05           5.82e-05
10)     6.36e-05           6.21e-05
11)     6.21e-05           5.85e-05
12)     6.2e-05           5.99e-05
13)     6.2e-05           5.85e-05
14)     0.0001387           0.0001315
15)     0.0001383           0.0001315
16)     0.0001576           0.0001284
17)     0.0001383           0.0001316
18)     6.14e-05           5.83e-05
19)     6.16e-05           5.84e-05
20)     6.15e-05           5.85e-05
21)     6.15e-05           5.85e-05
22)     6.17e-05           5.85e-05
23)     0.0001375           0.0001309
24)     6.23e-05           5.97e-05
25)     6.16e-05           5.84e-05
26)     6.17e-05           5.85e-05
27)     6.11e-05           5.85e-05
28)     6.15e-05           5.83e-05
29)     6.14e-05           5.82e-05
30)     6.15e-05           5.89e-05
31)     6.17e-05           5.85e-05
32)     6.14e-05           5.83e-05
33)     6.17e-05           5.88e-05
